string,date,float64
Grigory,2026-11-02,193.463
Grigory,2026-11-03,206.984
Grigory,2026-11-04,202.66
Grigory,2026-11-05,203.716
Grigory,2026-11-06,206.523
Grigory,2026-11-07,212.006
Grigory,2026-11-08,189.678
Grigory,2026-11-09,194.571
Grigory,2026-11-10,205.697
Ilya,2026-11-01,219.11
Ilya,2026-11-02,181.705
Ilya,2026-11-03,195.465
Ilya,2026-11-04,189.41
Ilya,2026-11-05,200.524
Ilya,2026-11-06,184.684
Ilya,2026-11-07,183.16
Ilya,2026-11-08,201.047
Ilya,2026-11-09,206.583
Ilya,2026-11-10,191.042
Irina,2026-11-01,217.519
Irina,2026-11-02,184.105
Irina,2026-11-03,204.049
Irina,2026-11-04,184.037
Irina,2026-11-05,201.143
Irina,2026-11-06,188.144
Irina,2026-11-07,202.78
Irina,2026-11-08,204.872
Irina,2026-11-09,200.753
Irina,2026-11-10,178.493
Ivan,2026-11-01,201.388
Ivan,2026-11-02,195.731
Ivan,2026-11-03,215.985
Ivan,2026-11-04,201.866
Ivan,2026-11-05,198.239
Ivan,2026-11-06,213.096
Ivan,2026-11-07,197.257
Ivan,2026-11-08,202.743
Ivan,2026-11-09,164.101
Ivan,2026-11-10,163.091
Kirill,2026-11-01,184.331
Kirill,2026-11-02,200.73
Kirill,2026-11-03,209.138
Kirill,2026-11-04,193.223
Kirill,2026-11-05,204.609
Kirill,2026-11-06,187.322
Kirill,2026-11-07,191.823
Kirill,2026-11-08,193.52
Kirill,2026-11-09,181.608
Kirill,2026-11-10,212.331
Konstantin,2026-11-01,187.931
Konstantin,2026-11-02,183.642
Konstantin,2026-11-03,216.937
Konstantin,2026-11-04,196.244
Konstantin,2026-11-05,185.242
Konstantin,2026-11-06,189.354
Konstantin,2026-11-07,197.652
Konstantin,2026-11-08,194.389
Konstantin,2026-11-09,208.538
Konstantin,2026-11-10,194.338
Ksenia,2026-11-01,189.872
Ksenia,2026-11-02,198.067
Ksenia,2026-11-03,183.936
Ksenia,2026-11-04,181.979
Ksenia,2026-11-05,203.252
Ksenia,2026-11-06,207.614
Ksenia,2026-11-07,181.423
Ksenia,2026-11-08,197.537
Ksenia,2026-11-09,206.642
Ksenia,2026-11-10,209.08
Leonid,2026-11-01,203.619
Leonid,2026-11-02,183.653
Leonid,2026-11-03,195.389
Leonid,2026-11-04,184.822
Leonid,2026-11-05,191.147
Leonid,2026-11-06,185.899
Leonid,2026-11-07,185.263
Leonid,2026-11-08,189.517
Leonid,2026-11-09,173.1
Leonid,2026-11-10,192.874
Maria,2026-11-01,193.19
Maria,2026-11-02,198.685
Maria,2026-11-03,197.367
Maria,2026-11-04,187.268
Maria,2026-11-05,173.077
Maria,2026-11-06,179.864
Maria,2026-11-07,178.884
Maria,2026-11-08,197.282
Maria,2026-11-09,183.663
Maria,2026-11-10,190.204
Marina,2026-11-01,210.382
Marina,2026-11-02,182.735
Marina,2026-11-03,203.661
Marina,2026-11-04,200.875
Marina,2026-11-05,213.315
Marina,2026-11-06,189.161
Marina,2026-11-07,208.663
Marina,2026-11-08,180.632
Marina,2026-11-09,188.238
Marina,2026-11-10,173.255
Matvey,2026-11-01,205.769
Matvey,2026-11-02,175.298
Matvey,2026-11-03,195.701
Matvey,2026-11-04,201.236
Matvey,2026-11-05,188.037
Matvey,2026-11-06,213.566
Matvey,2026-11-07,189.407
Matvey,2026-11-08,204.29
Matvey,2026-11-09,185.165
Matvey,2026-11-10,207.141
Maxim,2026-11-01,200.604
Maxim,2026-11-02,189.294
Maxim,2026-11-03,190.68
Maxim,2026-11-04,206.407
Maxim,2026-11-05,207.084
Maxim,2026-11-06,200.935
Maxim,2026-11-07,204.122
Maxim,2026-11-08,190.959
Maxim,2026-11-09,197.24
Maxim,2026-11-10,197.281
Mikhail,2026-11-01,197.706
Mikhail,2026-11-02,206.548
Mikhail,2026-11-03,207.606
Mikhail,2026-11-04,212.145
Mikhail,2026-11-05,197.728
Mikhail,2026-11-06,198.037
Mikhail,2026-11-07,198.923
Mikhail,2026-11-08,188.445
Mikhail,2026-11-09,195.517
Mikhail,2026-11-10,199.942
Nadezhda,2026-11-01,196.778
Nadezhda,2026-11-02,213.189
Nadezhda,2026-11-03,192.051
Nadezhda,2026-11-04,204.161
Nadezhda,2026-11-05,187.191
Nadezhda,2026-11-06,183.527
Nadezhda,2026-11-07,179.974
Nadezhda,2026-11-08,206.408
Nadezhda,2026-11-09,195.447
Nadezhda,2026-11-10,202.435
Natalia,2026-11-01,189.649
Natalia,2026-11-02,172.136
Natalia,2026-11-03,172.376
Natalia,2026-11-04,201.584
Natalia,2026-11-05,195.988
Natalia,2026-11-06,191.244
Natalia,2026-11-07,186.322
Natalia,2026-11-08,191.438
Natalia,2026-11-09,206.26
Natalia,2026-11-10,185.92
Nikita,2026-11-01,187.433
Nikita,2026-11-02,199.832
Nikita,2026-11-03,177.754
Nikita,2026-11-04,193.136
Nikita,2026-11-05,203.551
Nikita,2026-11-06,189.978
Nikita,2026-11-07,169.453
Nikita,2026-11-08,189.022
Nikita,2026-11-09,197.537
Nikita,2026-11-10,196.225
Nikolay,2026-11-01,176.393
Nikolay,2026-11-02,197.417
Nikolay,2026-11-03,191.782
Nikolay,2026-11-04,181.768
Nikolay,2026-11-05,182.992
Nikolay,2026-11-06,195.177
Nikolay,2026-11-07,189.678
Nikolay,2026-11-08,183.338
Nikolay,2026-11-09,219.006
Nikolay,2026-11-10,219.128
Oleg,2026-11-01,186.614
Oleg,2026-11-02,193.47
Oleg,2026-11-03,209.305
Oleg,2026-11-04,198.119
Oleg,2026-11-05,194.861
Oleg,2026-11-06,202.346
Oleg,2026-11-07,190.247
Oleg,2026-11-08,174.266
Oleg,2026-11-09,205.801
Oleg,2026-11-10,199.334
Olga,2026-11-01,190.659
Olga,2026-11-02,170.518
Olga,2026-11-03,180.348
Olga,2026-11-04,197.456
Olga,2026-11-05,201.887
Olga,2026-11-06,200.737
Olga,2026-11-07,188.564
Olga,2026-11-08,195.672
Olga,2026-11-09,219.082
Olga,2026-11-10,188.309
Pavel,2026-11-01,196.853
Pavel,2026-11-02,186.498
Pavel,2026-11-03,201.193
Pavel,2026-11-04,176.313
Pavel,2026-11-05,184.827
Pavel,2026-11-06,197.723
Pavel,2026-11-07,198.588
Pavel,2026-11-08,200.217
Pavel,2026-11-09,186.54
Pavel,2026-11-10,205.85
Petr,2026-11-01,183.879
Petr,2026-11-02,193.75
Petr,2026-11-03,189.609
Petr,2026-11-04,197.263
Petr,2026-11-05,192.152
Petr,2026-11-06,208.697
Petr,2026-11-07,193.147
Petr,2026-11-08,200.878
Petr,2026-11-09,180.212
Petr,2026-11-10,176.34
Polina,2026-11-01,214.973
Polina,2026-11-02,198.429
Polina,2026-11-03,182.741
Polina,2026-11-04,180.282
Polina,2026-11-05,190.872
Polina,2026-11-06,195.896
Polina,2026-11-07,214.498
Polina,2026-11-08,206.415
Polina,2026-11-09,192.961
Polina,2026-11-10,183.771
Roman,2026-11-01,199.719
Roman,2026-11-02,203.438
Roman,2026-11-03,206.133
Roman,2026-11-04,200.885
Roman,2026-11-05,183.697
Roman,2026-11-06,199.065
Roman,2026-11-07,181.139
Roman,2026-11-08,177.871
Roman,2026-11-09,193.21
Roman,2026-11-10,197.342
Ruslan,2026-11-01,188.159
Ruslan,2026-11-02,206.781
Ruslan,2026-11-03,208.2
Ruslan,2026-11-04,200.935
Ruslan,2026-11-05,176.805
Ruslan,2026-11-06,205.132
Ruslan,2026-11-07,178.137
Ruslan,2026-11-08,164.102
Ruslan,2026-11-09,207.009
Ruslan,2026-11-10,192.661
Sergey,2026-11-01,209.859
Sergey,2026-11-02,201.259
Sergey,2026-11-03,192.653
Sergey,2026-11-04,205.357
Sergey,2026-11-05,172.517
Sergey,2026-11-06,196.278
Sergey,2026-11-07,183.562
Sergey,2026-11-08,184.833
Sergey,2026-11-09,198.996
Sergey,2026-11-10,195.274
Sofia,2026-11-01,192.592
Sofia,2026-11-02,212.649
Sofia,2026-11-03,208.695
Sofia,2026-11-04,185.689
Sofia,2026-11-05,192.443
Sofia,2026-11-06,181.407
Sofia,2026-11-07,202.489
Sofia,2026-11-08,205.091
Sofia,2026-11-09,198.667
Sofia,2026-11-10,186.791
Stanislav,2026-11-01,195.707
Stanislav,2026-11-02,172.293
Stanislav,2026-11-03,194.696
Stanislav,2026-11-04,194.072
Stanislav,2026-11-05,194.515
Stanislav,2026-11-06,188.724
Stanislav,2026-11-07,190.587
Stanislav,2026-11-08,189.137
Stanislav,2026-11-09,199.22
Stanislav,2026-11-10,186.536
Svetlana,2026-11-01,191.932
Svetlana,2026-11-02,189.861
Svetlana,2026-11-03,184.351
Svetlana,2026-11-04,192.991
Svetlana,2026-11-05,193.577
Svetlana,2026-11-06,165.759
Svetlana,2026-11-07,196.997
Svetlana,2026-11-08,175.381
Svetlana,2026-11-09,187.114
Svetlana,2026-11-10,209.92
Tatiana,2026-11-01,195.292
Tatiana,2026-11-02,200.91
Tatiana,2026-11-03,201.513
Tatiana,2026-11-04,206.863
Tatiana,2026-11-05,200.943
Tatiana,2026-11-06,186.696
Tatiana,2026-11-07,192.839
Tatiana,2026-11-08,183.769
Tatiana,2026-11-09,192.849
Tatiana,2026-11-10,192.994
Vera,2026-11-01,211.005
Vera,2026-11-02,210.118
Vera,2026-11-03,201.267
Vera,2026-11-04,173.617
Vera,2026-11-05,205.279
Vera,2026-11-06,182.105
Vera,2026-11-07,187.273
Vera,2026-11-08,203.375
Vera,2026-11-09,190.067
Vera,2026-11-10,182.328
Victor,2026-11-01,207.748
Victor,2026-11-02,200.689
Victor,2026-11-03,184.677
Victor,2026-11-04,196.246
Victor,2026-11-05,190.229
Victor,2026-11-06,197.304
Victor,2026-11-07,194.793
Victor,2026-11-08,184.172
Victor,2026-11-09,200.359
Victor,2026-11-10,187.533
Victoria,2026-11-01,200.065
Victoria,2026-11-02,195.665
Victoria,2026-11-03,173.431
Victoria,2026-11-04,199.042
Victoria,2026-11-05,193.506
Victoria,2026-11-06,190.306
Victoria,2026-11-07,191.362
Victoria,2026-11-08,184.796
Victoria,2026-11-09,206.496
Victoria,2026-11-10,192.815
Vladimir,2026-11-01,181.872
Vladimir,2026-11-02,188.967
Vladimir,2026-11-03,189.268
Vladimir,2026-11-04,188.936
Vladimir,2026-11-05,202.461
Vladimir,2026-11-06,177.674
Vladimir,2026-11-07,171.977
Vladimir,2026-11-08,198.784
Vladimir,2026-11-09,186.474
Vladimir,2026-11-10,199.161
Yulia,2026-11-01,188.841
Yulia,2026-11-02,200.558
Yulia,2026-11-03,190.452
Yulia,2026-11-04,199.675
Yulia,2026-11-05,182.864
Yulia,2026-11-06,203.941
Yulia,2026-11-07,191.864
Yulia,2026-11-08,204.985
Yulia,2026-11-09,189.385
Yulia,2026-11-10,207.66
Yuri,2026-11-01,189.928
Yuri,2026-11-02,203.967
Yuri,2026-11-03,194.372
Yuri,2026-11-04,189.598
Yuri,2026-11-05,196.321
Yuri,2026-11-06,185.026
Yuri,2026-11-07,197.754
Yuri,2026-11-08,193.255
Yuri,2026-11-09,195.365
Yuri,2026-11-10,205.883
